Date,Open,High,Low,Close,Volume
7-Nov-16,41.17,41.23,40.86,41.05,5430744
4-Nov-16,39.96,40.67,39.80,40.28,4579437
3-Nov-16,40.62,40.75,40.18,40.23,8112820
2-Nov-16,41.80,42.16,40.36,40.68,13019956
1-Nov-16,41.13,41.34,40.69,41.33,11751521
31-Oct-16,42.03,42.16,41.55,41.55,3749658
28-Oct-16,42.03,42.22,41.71,41.78,6197469
27-Oct-16,42.31,42.49,41.81,41.87,7240848
26-Oct-16,42.26,42.44,41.95,42.08,6123026
25-Oct-16,42.72,42.75,42.43,42.55,5338875
24-Oct-16,42.50,42.68,42.38,42.59,4346851
21-Oct-16,42.10,42.20,41.73,42.17,7194168
20-Oct-16,42.69,42.69,42.07,42.38,11671022
19-Oct-16,42.30,42.94,42.26,42.73,14532469
18-Oct-16,42.04,42.60,41.63,41.68,19360802
17-Oct-16,41.35,41.94,41.24,41.79,8620369
14-Oct-16,42.04,42.25,41.40,41.44,7781258
13-Oct-16,42.00,42.08,41.17,41.62,15689711
12-Oct-16,42.60,42.78,42.05,42.36,7290843
11-Oct-16,43.87,44.08,42.49,42.68,9513283
10-Oct-16,43.36,44.07,43.25,43.92,6573631
7-Oct-16,43.26,43.68,43.12,43.22,8502112
6-Oct-16,43.64,43.82,43.37,43.68,6293908
5-Oct-16,43.23,43.87,43.22,43.71,6118487
4-Oct-16,43.20,43.50,42.96,43.18,8998384
3-Oct-16,42.95,43.18,42.82,43.13,7965922
30-Sep-16,42.74,43.25,42.72,43.10,10374757
29-Sep-16,43.17,43.30,42.43,42.57,13720746
28-Sep-16,43.40,43.72,43.25,43.69,7418984
27-Sep-16,42.43,43.41,42.32,43.37,8765715
26-Sep-16,42.38,42.74,41.85,42.29,12745119
23-Sep-16,43.50,43.76,42.54,42.80,31888521
22-Sep-16,43.94,44.87,43.74,44.15,33355616
21-Sep-16,42.89,44.22,42.89,44.14,12313680
20-Sep-16,43.24,43.38,42.66,42.79,9788923
19-Sep-16,43.92,43.95,43.00,43.19,7887375
16-Sep-16,43.94,44.02,43.47,43.67,19093930
15-Sep-16,43.41,44.05,43.22,43.99,12535634
14-Sep-16,42.91,43.62,42.86,43.46,11625287
13-Sep-16,43.19,43.52,42.69,43.04,10132044
12-Sep-16,42.28,43.65,42.18,43.46,10808806
9-Sep-16,43.92,44.15,42.82,42.92,12060737
8-Sep-16,44.07,44.72,44.03,44.36,7882609
7-Sep-16,44.55,44.92,44.19,44.35,9109446
6-Sep-16,43.50,44.85,43.50,44.71,18125776
2-Sep-16,43.27,43.60,43.08,43.28,7334914
1-Sep-16,42.78,43.10,42.72,42.93,5575305
31-Aug-16,42.46,42.80,42.46,42.75,7715941
30-Aug-16,42.28,42.74,42.28,42.58,5804080
29-Aug-16,42.20,42.46,42.08,42.26,4555600
26-Aug-16,42.15,42.61,41.94,42.27,6327991
25-Aug-16,41.83,42.24,41.73,42.03,5360912
24-Aug-16,42.50,42.77,41.79,41.91,6930295
23-Aug-16,42.61,42.91,42.45,42.60,8963786
22-Aug-16,42.84,42.87,42.33,42.52,6229402
19-Aug-16,42.80,43.12,42.64,43.02,9460753
18-Aug-16,42.69,42.97,42.58,42.90,11294419
17-Aug-16,42.39,42.75,42.39,42.70,8571927
16-Aug-16,42.30,42.79,41.95,42.49,13793794
15-Aug-16,43.18,43.29,42.43,42.67,14441784
12-Aug-16,41.28,42.98,41.28,42.94,25182851
11-Aug-16,41.12,41.73,40.93,41.27,23938864
10-Aug-16,39.34,39.98,39.30,39.93,12981568
9-Aug-16,39.24,39.31,39.10,39.24,5971530
8-Aug-16,39.00,39.27,38.86,39.24,10131279
5-Aug-16,39.00,39.15,38.90,38.99,9127094
4-Aug-16,38.47,39.03,38.43,38.92,11000843
3-Aug-16,38.43,38.55,38.28,38.39,5890051
2-Aug-16,38.60,38.67,38.26,38.57,7504721
1-Aug-16,38.18,38.89,38.10,38.80,9605006
29-Jul-16,38.47,38.52,38.08,38.19,13199145
28-Jul-16,38.58,38.64,38.23,38.52,7424404
27-Jul-16,38.66,38.77,38.43,38.66,12148433
26-Jul-16,38.07,38.83,37.90,38.76,15978647
25-Jul-16,39.20,39.21,38.22,38.32,41814378
22-Jul-16,38.90,39.42,38.78,39.38,11325660
21-Jul-16,39.01,39.25,38.72,38.85,7671760
20-Jul-16,38.36,38.93,38.26,38.90,8177973
19-Jul-16,37.77,38.49,37.65,38.17,10393957
18-Jul-16,37.68,37.97,37.50,37.95,16046777
15-Jul-16,38.16,38.18,37.68,37.72,13513375
14-Jul-16,37.85,38.35,37.85,37.96,10713015
13-Jul-16,37.99,38.01,37.46,37.64,9566060
